PXD040399	10117404	Rural hospitals' viability and strategic responses. 	Systemic LRG1 expression in melanoma is associated with disease progression and recurrence	LRG1, checkpoint inhibitor, melanoma, serum, systemic immune suppression	In 1989 the Catholic Health Association, in conjunction with the University of Iowa Center for Health Services Research, surveyed chief executive officers (CEOs) of rural hospitals regarding their hospital's viability and strategic behaviors and orientations. An extensive questionnaire was sent to the CEOs of all Catholic, all other religious not-for-profit, and all investor-owned rural hospitals, as well as to a 50 percent random sample of government and other not-for-profit rural hospitals. CEOs on average perceived that their hospital's viability relative to that of other rural hospitals was higher in 1989 than it had been in 1987. Ninety-four percent of hospitals whose CEOs perceived an increase in viability had been medium- or low-viability hospitals two years earlier. Thus, despite reports of deteriorating conditions for rural hospitals, rural hospital CEOs appeared to be relatively optimistic regarding their institution's viability. Changes in strategic direction accompanied these perceived increases in viability. The predominant strategic orientation adopted by rural hospitals in 1987 was that of the defender, but many hospitals that used this approach switched to the analyzer orientation by 1989. Significant shifts also occurred toward the reactor orientation from the analyzer and defender orientations. A greater percentage of hospitals with a perceived increase in viability between 1987 and 1989 altered their organizational role. The most common change for these hospitals was from limited care to basic care.
PXD010152	21472528	A novel two-stage tandem mass spectrometry approach and scoring scheme for the identification of O-GlcNAc modified peptides. 	A Novel Two-Stage Tandem Mass Spectrometry Approach and Scoring Scheme for the Identification of O-GlcNAc Modified Peptides	O-GlcNAc	The modification of serine and threonine residues in proteins by a single N-acetylglucosamine (O-GlcNAc) residue is an emerging post-translational modification (PTM) with broad biological implications. However, the systematic or large-scale analysis of this PTM is hampered by several factors, including low stoichiometry and the lability of the O-glycosidic bond during tandem mass spectrometry. Using a library of 72 synthetic glycopeptides, we developed a two-stage tandem MS approach consisting of pulsed Q dissociation (PQD) for O-GlcNAc peptide detection and electron transfer dissociation (ETD) for identification and site localization. Based on a set of O-GlcNAc specific fragment ions, we further developed a score (OScore) that discriminates O-GlcNAc peptide spectra from spectra of unmodified peptides with 95% sensitivity and >99% specificity. Integrating the OScore into the two-stage LC-MS/MS approach detected O-GlcNAc peptides in the low fmol range and at 10-fold better sensitivity than a single data-dependent ETD tandem MS experiment.
PXD034877	21714549	Proteomic characterization of human milk fat globule membrane proteins during a 12 month lactation period. 	Proteomic Characterization of Human Milk Fat Globule Membrane Proteins during a 12 Month Lactation Period	Human Milk, Lactation, MFGM	The milk fat globule membrane (MFGM) contains proteins which have been implicated in a variety of health benefits. Milk fat globule membrane proteins were isolated from human milk during a 12 month lactation period and subjected to in-solution digestion and liquid chromatography tandem mass spectrometry analysis. Data were pooled, and our results showed that 191 proteins were identified. Relative quantification of the identified MFGM proteins during the course of lactation was performed by label free spectral counting and differentiation expression analysis, which showed some proteins decreasing during the course of lactation whereas some increased or remained at a relatively constant level. The human MFGM proteins are distributed between intracellular, extracellular, and membrane-associated proteins, and they are mainly involved in cell communication and signal transduction, immune function, metabolism and energy production. This study provides more insights into the dynamic composition of human MFGM proteins, which in turn will enhance our understanding of the physiological significance of MFGM proteins.
PXD015756	21842862	PUB-MS: a mass spectrometry-based method to monitor protein-protein proximity in vivo. 	Development of a method for quantitative analysis of in vivo interactions of pluripotency transcription factors Sox2, Oct4, Nanog by mass spectrometry	Oct4, Pluripotency, Sox2, proximity utilizing biotinylation, transcription factors	The common techniques to study protein-protein proximity in vivo are not well adapted to the capabilities and the expertise of a standard proteomics laboratory, typically based on the use of mass spectrometry. With the aim of closing this gap, we have developed PUB-MS (for proximity utilizing biotinylation and mass spectrometry), an approach to monitor protein-protein proximity, based on biotinylation of a protein fused to a biotin-acceptor peptide (BAP) by a biotin-ligase, BirA, fused to its interaction partner. The biotinylation status of the BAP can be further detected by either Western analysis or mass spectrometry. The BAP sequence was redesigned for easy monitoring of the biotinylation status by LC-MS/MS. In several experimental models, we demonstrate that the biotinylation in vivo is specifically enhanced when the BAP- and BirA-fused proteins are in proximity to each other. The advantage of mass spectrometry is demonstrated by using BAPs with different sequences in a single experiment (allowing multiplex analysis) and by the use of stable isotopes. Finally, we show that our methodology can be also used to study a specific subfraction of a protein of interest that was in proximity with another protein at a predefined time before the analysis.
PXD008969	21963274	Depletion of highly abundant proteins in blood plasma by ammonium sulfate precipitation for 2D-PAGE analysis. 	AS precipitation and protein A affinity chromatography for abundant plasma protein depletion	Plasma, abundant protein depletion	Ammonium sulfate precipitation (ASP) was explored as a method for depleting some highly abundant proteins from blood plasma, in order to reduce the dynamic range of protein concentration and to improve the detection of low abundance proteins by 2D-PAGE. 40% ammonium sulfate saturation was chosen since it allowed depleting 39% albumin and 82% alpha-1-antitrypsin. ASP-depletion showed high reproducibility in 2D-PAGE analysis (4.2% variation in relative abundance of albumin), similar to that offered by commercial affinity-depletion columns. Besides, it allowed detecting 59 spots per gel, very close to the number of spots detected in immuno-affinity-depleted plasma. Thus, ASP at 40% saturation is a reliable depletion method that may help in proteomic analysis of blood plasma. Finally, ASP-depletion seems to be complementary to hydrophobic interaction chromatography (HIC)-depletion, and therefore an ASP-step followed by a HIC-step could probably deplete the most highly abundant plasma proteins, thus improving the detection of low abundance proteins by 2D-PAGE.
PXD003919	22261194	Proteomics analysis of cardiac extracellular matrix remodeling in a porcine model of ischemia/reperfusion injury. 	Proteomics analysis of cardiac extracellular matrix remodeling in a porcine model of ischemia/reperfusion injury: Infarcted, Guanidine	Cardiovascular, extracellular matrix, heart, pig	BACKGROUND: After myocardial ischemia, extracellular matrix (ECM) deposition occurs at the site of the focal injury and at the border region. METHODS AND RESULTS: We have applied a novel proteomic method for the analysis of ECM in cardiovascular tissues to a porcine model of ischemia/reperfusion injury. ECM proteins were sequentially extracted and identified by liquid chromatography tandem mass spectrometry. For the first time, ECM proteins such as cartilage intermediate layer protein 1, matrilin-4, extracellular adipocyte enhancer binding protein 1, collagen alpha-1(XIV), and several members of the small leucine-rich proteoglycan family, including asporin and prolargin, were shown to contribute to cardiac remodeling. A comparison in 2 distinct cardiac regions (the focal injury in the left ventricle and the border region close to the occluded coronary artery) revealed a discordant regulation of protein and mRNA levels; although gene expression for selected ECM proteins was similar in both regions, the corresponding protein levels were much higher in the focal lesion. Further analysis based on >100 ECM proteins delineated a signature of early- and late-stage cardiac remodeling with transforming growth factor-beta1 signaling at the center of the interaction network. Finally, novel cardiac ECM proteins identified by proteomics were validated in human left ventricular tissue acquired from ischemic cardiomyopathy patients at cardiac transplantation. CONCLUSION: Our findings reveal a biosignature of early- and late-stage ECM remodeling after myocardial ischemia/reperfusion injury, which may have clinical utility as a prognostic marker and modifiable target for drug discovery.
PXD008302	22393262	Glycomic and proteomic profiling of pancreatic cyst fluids identifies hyperfucosylated lactosamines on the N-linked glycans of overexpressed glycoproteins. 	Quantitative Proteomic Analysis of Pancreatic Cyst Fluid Proteins Associated with Malignancy in Intraductal Papillary Mucinous Neoplasms	IPMN dysplasia, biomarker candidates, intraductal papillary mucinous neoplasm (IPMN), mucinous cystic neoplasm (MCN), pancreatic cyst fluid	Pancreatic cancer is now the fourth leading cause of cancer deaths in the United States, and it is associated with an alarmingly low 5-year survival rate of 5%. However, a patient's prognosis is considerably improved when the malignant lesions are identified at an early stage of the disease and removed by surgical resection. Unfortunately, the absence of a practical screening strategy and clinical diagnostic test for identifying premalignant lesions within the pancreas often prevents early detection of pancreatic cancer. To aid in the development of a molecular screening system for early detection of the disease, we have performed glycomic and glycoproteomic profiling experiments on 21 pancreatic cyst fluid samples, including fluids from mucinous cystic neoplasms and intraductal papillary mucinous neoplasms, two types of mucinous cysts that are considered high risk to undergo malignant transformation. A total of 80 asparagine-linked (N-linked) glycans, including high mannose and complex structures, were identified. Of special interest was a series of complex N-linked glycans containing two to six fucose residues, located predominantly as substituents on beta-lactosamine extensions. Following the observation of these "hyperfucosylated" glycans, bottom-up proteomics experiments utilizing a label-free quantitative approach were applied to the investigation of two sets of tryptically digested proteins derived from the cyst fluids: 1) all soluble proteins in the raw samples and 2) a subproteome of the soluble cyst fluid proteins that were selectively enriched for fucosylation through the use of surface-immobilized Aleuria aurantia lectin. A comparative analysis of these two proteomic data sets identified glycoproteins that were significantly enriched by lectin affinity. Several candidate glycoproteins that appear hyperfucosylated were identified, including triacylglycerol lipase and pancreatic alpha-amylase, which were 20- and 22-fold more abundant, respectively, following A. aurantia lectin enrichment.
PXD002098	22442255	Super-SILAC allows classification of diffuse large B-cell lymphoma subtypes by their protein expression profiles. 	Super-SILAC Allows Classification of Diffuse Large B-cell Lymphoma Subtypes by Their Protein Expression Profiles	DLBCL, classification, lymphoma, super SILAC	Correct classification of cancer patients into subtypes is a prerequisite for acute diagnosis and effective treatment. Currently this classification relies mainly on histological assessment, but gene expression analysis by microarrays has shown great promise. Here we show that high accuracy, quantitative proteomics can robustly segregate cancer subtypes directly at the level of expressed proteins. We investigated two histologically indistinguishable subtypes of diffuse large B-cell lymphoma (DLBCL): activated B-cell-like (ABC) and germinal-center B-cell-like (GCB) subtypes, by first developing a general lymphoma stable isotope labeling with amino acids in cell culture (SILAC) mix from heavy stable isotope-labeled cell lines. This super-SILAC mix was combined with cell lysates from five ABC-DLBCL and five GCB-DLBCL cell lines. Shotgun proteomic analysis on a linear ion trap Orbitrap mass spectrometer with high mass accuracy at the MS and MS/MS levels yielded a proteome of more than 7,500 identified proteins. High accuracy of quantification allowed robust separation of subtypes by principal component analysis. The main contributors to the classification included proteins known to be differentially expressed between the subtypes such as the transcription factors IRF4 and SPI1/PU.1, cell surface markers CD44 and CD27, as well as novel candidates. We extracted a signature of 55 proteins that segregated subtypes and contained proteins connected to functional differences between the ABC and GCB-DLBCL subtypes, including many NF-kappaB-regulated genes. Shortening the analysis time to single-shot analysis combined with use of the new linear quadrupole Orbitrap analyzer (Q Exactive) also clearly differentiated between the subtypes. These results show that high resolution shotgun proteomics combined with super-SILAC-based quantification is a promising new technology for tumor characterization and classification.
PXD000575	22707618	Isolation and proteomic characterization of the mouse sperm acrosomal matrix. 	Mouse Acrosomal Matrix LC-MS/MS	Acrosomal matrix, Acrosome, Spermatozoa	A critical step during fertilization is the sperm acrosome reaction in which the acrosome releases its contents allowing the spermatozoa to penetrate the egg investments. The sperm acrosomal contents are composed of both soluble material and an insoluble material called the acrosomal matrix (AM). The AM is thought to provide a stable structure from which associated proteins are differentially released during fertilization. Because of its important role during fertilization, efforts have been put toward isolating the AM for biochemical study and to date AM have been isolated from hamster, guinea pig, and bull spermatozoa. However, attempts to isolate AM from mouse spermatozoa, the species in which fertilization is well-studied, have been unsuccessful possibly because of the small size of the mouse sperm acrosome and/or its fusiform shape. Herein we describe a procedure for the isolation of the AM from caput and cauda mouse epididymal spermatozoa. We further carried out a proteomic analysis of the isolated AM from both sperm populations and identified 501 new proteins previously not detected by proteomics in mouse spermatozoa. A comparison of the AM proteome from caput and cauda spermatozoa showed that the AM undergoes maturational changes during epididymal transit similar to other sperm domains. Together, our studies suggest the AM to be a dynamic and functional structure carrying out a variety of biological processes as implied by the presence of a diverse group of proteins including proteases, chaperones, hydrolases, transporters, enzyme modulators, transferases, cytoskeletal proteins, and others.
PXD014834	22810696	Comprehensive molecular characterization of human colon and rectal cancer. 	CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue / Global Proteome Analysis of Normal Colon Epithelium Samples	CPTAC	To characterize somatic alterations in colorectal carcinoma, we conducted a genome-scale analysis of 276 samples, analysing exome sequence, DNA copy number, promoter methylation and messenger RNA and microRNA expression. A subset of these samples (97) underwent low-depth-of-coverage whole-genome sequencing. In total, 16% of colorectal carcinomas were found to be hypermutated: three-quarters of these had the expected high microsatellite instability, usually with hypermethylation and MLH1 silencing, and one-quarter had somatic mismatch-repair gene and polymerase epsilon (POLE) mutations. Excluding the hypermutated cancers, colon and rectum cancers were found to have considerably similar patterns of genomic alteration. Twenty-four genes were significantly mutated, and in addition to the expected APC, TP53, SMAD4, PIK3CA and KRAS mutations, we found frequent mutations in ARID1A, SOX9 and FAM123B. Recurrent copy-number alterations include potentially drug-targetable amplifications of ERBB2 and newly discovered amplification of IGF2. Recurrent chromosomal translocations include the fusion of NAV2 and WNT pathway member TCF7L1. Integrative analyses suggest new markers for aggressive colorectal carcinoma and an important role for MYC-directed transcriptional activation and repression.
PXD000005	22864569	Proteomic screen reveals Fbw7 as a modulator of the NF-kappaB pathway. 	Proteomic screen reveals Fbw7 as a modulator of the NF-kB pathway	LC-MSMS Orbitrap human colon epithelium Fbw7 HiRIEF	Fbw7 is a ubiquitin-ligase that targets several oncoproteins for proteolysis, but the full range of Fbw7 substrates is not known. Here we show that by performing quantitative proteomics combined with degron motif searches, we effectively screened for a more complete set of Fbw7 targets. We identify 89 putative Fbw7 substrates, including several disease-associated proteins. The transcription factor NF-kappaB2 (p100/p52) is one of the candidate Fbw7 substrates. We show that Fbw7 interacts with p100 via a conserved degron and that it promotes degradation of p100 in a GSK3beta phosphorylation-dependent manner. Fbw7 inactivation increases p100 levels, which in the presence of NF-kappaB pathway stimuli, leads to increased p52 levels and activity. Accordingly, the apoptotic threshold can be increased by loss of Fbw7 in a p100-dependent manner. In conclusion, Fbw7-mediated destruction of p100 is a regulatory component restricting the response to NF-kappaB2 pathway stimulation.
PXD002287	22865919	Proteome-wide analysis of lysine acetylation suggests its broad regulatory scope in Saccharomyces cerevisiae. 	Proteome-wide analysis of lysine acetylation suggests its broad regulatory scope in Saccharomyces cerevisiae.	ProteomeXchange project tag: PRIME-XS Project, Saccharomyces cerevisiae, acetylation, acetylome, rpd3	Post-translational modification of proteins by lysine acetylation plays important regulatory roles in living cells. The budding yeast Saccharomyces cerevisiae is a widely used unicellular eukaryotic model organism in biomedical research. S. cerevisiae contains several evolutionary conserved lysine acetyltransferases and deacetylases. However, only a few dozen acetylation sites in S. cerevisiae are known, presenting a major obstacle for further understanding the regulatory roles of acetylation in this organism. Here we use high resolution mass spectrometry to identify about 4000 lysine acetylation sites in S. cerevisiae. Acetylated proteins are implicated in the regulation of diverse cytoplasmic and nuclear processes including chromatin organization, mitochondrial metabolism, and protein synthesis. Bioinformatic analysis of yeast acetylation sites shows that acetylated lysines are significantly more conserved compared with nonacetylated lysines. A large fraction of the conserved acetylation sites are present on proteins involved in cellular metabolism, protein synthesis, and protein folding. Furthermore, quantification of the Rpd3-regulated acetylation sites identified several previously known, as well as new putative substrates of this deacetylase. Rpd3 deficiency increased acetylation of the SAGA (Spt-Ada-Gcn5-Acetyltransferase) complex subunit Sgf73 on K33. This acetylation site is located within a critical regulatory domain in Sgf73 that interacts with Ubp8 and is involved in the activation of the Ubp8-containing histone H2B deubiquitylase complex. Our data provides the first global survey of acetylation in budding yeast, and suggests a wide-ranging regulatory scope of this modification. The provided dataset may serve as an important resource for the functional analysis of lysine acetylation in eukaryotes.
