PXD043277	39170456	Acetyl-proteome profiling revealed the role of lysine acetylation in erythromycin resistance of Staphylococcus aureus. 	Acetyl-proteome profiling of Staphylococcus aureus revealed lysine acetylation in bacterial antibiotic resistance	Staphylococcus aureus, antibiotic resistance, lysine acetylation, post-translational modification, ribosome	Background: Staphylococcus aureus (S. aureus), a prevalent human pathogen known for its propensity to cause severe infections, has exhibited a growing resistance to antibiotics. Lysine acetylation (Kac) is a dynamic and reversible protein post-translational modification (PTM), played important roles in various physiological functions. Recent studies have shed light on the involvement of Kac modification in bacterial antibiotic resistance. However, the precise relationship between Kac modification and antibiotic resistance in S. aureus remains inadequately comprehended. Methods: We compared the differential expression of acetylated proteins between erythromycin-resistant (Ery-R) and erythromycin-susceptible (Ery-S) strains of S. aureus by 4D label-free quantitative proteomics technology. Additionally, we employed motif analysis, functional annotation and PPI network to investigate the acetylome landscape and heterogeneity of S. aureus. Furthermore, polysome profiling experiments were performed to assess the translational status of ribosome. Results: 6791 Kac sites were identified on 1808 proteins in S. aureus, among which 1907 sites in 483 proteins were quantified. A total of 548 Kac sites on 316 acetylated proteins were differentially expressed by erythromycin pressure. The differentially acetylated proteins were primarily enriched in ribosome assembly, glycolysis and lysine biosynthesis. Bioinformatic analyses implied that Kac modification of ribosomal proteins may play an important role in erythromycin resistance of S. aureus. Western bolt and polysome profiling experiments indicated that the increased Kac levels of ribosomal proteins in the resistant strain may partially offset the inhibitory effect of erythromycin on ribosome function. Conclusions: Our findings confirm that Kac modification is related to erythromycin resistance in S. aureus and emphasize the potential roles of ribosomal proteins. These results expand our current knowledge of antibiotic resistance mechanisms, potentially guiding future research on PTM-mediated antibiotic resistance.
PXD054804	39172012	TCR-engineered T-cells directed against Ropporin-1 constitute a safe and effective treatment for triple-negative breast cancer. 	TCR-engineered T-cells directed against Ropporin-1 constitute a safe and effective treatment for triple-negative breast cancer in near-clinical models	T-cell receptor, adoptive T-cell therapy, cross-reactivity, epitopes, gene-engineering, immunopeptidomics, ropporin-1, triple negative breast cancer, tumor-restricted antigen	Triple-negative breast cancer (TNBC) shows an urgent need for new therapies. We discovered Ropporin-1 (ROPN1) as a target to treat TNBC with T-cells. ROPN1 showed high and homogenous expression in 90% of primary and metastatic TNBC but not in healthy tissues. HLA-A2-binding peptides were detected via immunopeptidomics and predictions and used to retrieve T-cell receptors (TCRs) from naive repertoires. Following gene introduction into T-cells and stringent selection, we retrieved a highly specific TCR directed against the epitope FLYTYIAKV that did not recognize non-cognate epitopes from alternative source proteins. Notably, this TCR mediated killing of three-dimensional tumoroids in vitro and tumor cells in vivo and outperformed standard-of-care drugs. Finally, the T-cell product expressing this TCR and manufactured using a clinical protocol fulfilled standard safety and efficacy assays. Collectively, we have identified and preclinically validated ROPN1 as a target and anti-ROPN1 TCR T-cells as a treatment for the vast majority of TNBC patients.
PXD024300	39172142	Comparative profiling of whole-cell and exosome samples reveals protein signatures that stratify breast cancer subtypes. 	Proteomic and pathway profiling of four Breast Cancer cell lines  exosomes	Biomarker discovery, Differentially-expressed proteins, breast cancer, exosomes, proteomic profile	Identifying novel breast cancer biomarkers will improve patient stratification, enhance therapeutic outcomes, and help develop non-invasive diagnostics. We compared the proteomic profiles of whole-cell and exosomal samples of representative breast cancer cell subtypes to evaluate the potential of extracellular vesicles as non-invasive disease biomarkers in liquid biopsies. Overall, differentially-expressed proteins in whole-cell and exosome samples (which included markers for invasion, metastasis, angiogenesis, and drug resistance) effectively discriminated subtypes; furthermore, our results confirmed that the proteomic profile of exosomes reflects breast cancer cell-of-origin, which underscores their potential as disease biomarkers. Our study will contribute to identifying biomarkers that support breast cancer patient stratification and developing novel therapeutic strategies. We include an open, interactive web tool to explore the data as a molecular resource that can explain the role of these protein signatures in breast cancer classification.
PXD054802	39173855	PP2A phosphatase regulatory subunit PPP2R3C is a new positive regulator of the hedgehog signaling pathway. 	PP2A Phosphatase Regulatory Subunit PPP2R3C is a New Positive Regulator of the Hedgehog Signaling Pathway	Gli, Hedgehog signaling, PP2A, PPP2R3C, phosphatases, phosphorylation	Cellular signaling pathways rely on posttranslational modifications (PTMs) to finely regulate protein functions, particularly transcription factors. The Hedgehog (Hh) signaling cascade, crucial for embryonic development and tissue homeostasis, is susceptible to aberrations that lead to developmental anomalies and various cancers. At the core of Hh signaling are Gli proteins, whose dynamic balance between activator (GliA) and repressor (GliR) states shapes cellular outcomes. Phosphorylation, orchestrated by multiple kinases, is pivotal in regulating Gli activity. While kinases in this context have been extensively studied, the role of protein phosphatases, particularly Protein Phosphatase 2A (PP2A), remains less explored. This study unveils a novel role for the B"gamma subunit of PP2A, PPP2R3C, in Hh signaling regulation. PPP2R3C interacts with Gli proteins, and its disruption reduces Hedgehog pathway activity as measured by reduced expression of Gli1/2 and Hh target genes upon Hh signaling activation, and reduced growth of a Hh signaling-dependent medulloblastoma cell line. Moreover, we establish an antagonistic connection between PPP2R3C and MEKK1 kinase in Gli protein phosphorylation, underscoring the intricate interplay between kinases and phosphatases in Hh signaling pathway. This study sheds light on the previously understudied role of protein phosphatases in Hh signaling and provides insights into their significance in cellular regulation.
PXD041306	39174559	Fermented food consumption modulates the oral microbiota. 	Comparison of the salivary proteome of rats after a fermented diet	Fermented food, ProteomeXchange project tag: Food and Nutrition (B/D-HPP), Rat, Salivary proteome	Fermented food consumption is recommended for health and environmental purposes. While it is known to impact gut microbiota, further investigation is needed to establish connections with the oral microbiota. For this purpose, we investigated the effect of daily consumption of a model cheese containing 3 Lactic Acid Bacteria (LAB) species on the oral microbiota of rats following a 3-week diet. Cheese consumption transiently modifies the oral microbiota and leads to a transient persistence of LAB in the oral cavity of 1/3 of the animals. The origin of this variability was partly explained by an overrepresentation of salivary proteins involved in the response to oxidative stress in animals without LAB persistence. These findings highlight the significance of fermented foods in shaping the diversity of the oral microbiota. Additionally, they suggest that variations in the salivary proteome among individuals may influence the permissiveness of the oral microbiota towards exogenous microorganisms.
PXD043695	39174742	The Rubicon-WIPI axis regulates exosome biogenesis during ageing. 	LFQ of GFP-Trap IP-MS from MEF cells expressing GFP-Rubicon	GFP-Trap, MEF, Rubicon	Cells release intraluminal vesicles in multivesicular bodies as exosomes to communicate with other cells. Although recent studies suggest an intimate link between exosome biogenesis and autophagy, the detailed mechanism is not fully understood. Here we employed comprehensive RNA interference screening for autophagy-related factors and discovered that Rubicon, a negative regulator of autophagy, is essential for exosome release. Rubicon recruits WIPI2d to endosomes to promote exosome biogenesis. Interactome analysis of WIPI2d identified the ESCRT components that are required for intraluminal vesicle formation. Notably, we found that Rubicon is required for an age-dependent increase of exosome release in mice. In addition, small RNA sequencing of serum exosomes revealed that Rubicon determines the fate of exosomal microRNAs associated with cellular senescence and longevity pathways. Taken together, our current results suggest that the Rubicon-WIPI axis functions as a key regulator of exosome biogenesis and is responsible for age-dependent changes in exosome quantity and quality.
PXD051475	39176081	Proteomics profiling reveals lipid metabolism abnormalities during oogenesis in unexplained recurrent pregnancy loss. 	Proteomics Profiling Reveals Lipid Metabolism Abnormalities During Oogenesis in Unexplained Recurrent Pregnancy Loss	follicle fluid, recurrent pregnancy loss	Background: Unexplained recurrent pregnancy loss (URPL) is a clinical dilemma in reproductive fields. Its diagnosis is mainly exclusionary after extensive clinical examination, and some of the patients may still face the risk of miscarriage. Methods: We analyzed follicular fluid (FF) from in vitro fertilization (IVF) in eight patients with URPL without endocrine abnormalities or verifiable causes of abortion and eight secondary infertility controls with no history of pregnancy loss who had experienced at least one normal pregnancy and delivery by direct data-independent acquisition (dDIA) quantitative proteomics to identify differentially expressed proteins (DEPs). In this study, bioinformatics analysis was performed using online software including g:profiler, String, and ToppGene. Cytoscape was used to construct the protein-protein interaction (PPI) network, and ELISA was used for validation. Results: Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis showed that the DEPs are involved in the biological processes (BP) of complement and coagulation cascades. Apolipoproteins (APOs) are key proteins in the PPI network. ELISA confirmed that APOB was low-expressed in both the FF and peripheral blood of URPL patients. Conclusion: Dysregulation of the immune network intersecting coagulation and inflammatory response is an essential feature of URPL, and this disequilibrium exists as early as the oogenesis stage. Therefore, earlier intervention is necessary to prevent the development of URPL. Moreover, aberrant lipoprotein regulation appears to be a key factor contributing to URPL. The mechanism by which these factors are involved in the complement and coagulation cascade pathways remains to be further investigated, which also provides new candidate targets for URPL treatment.
PXD051029	39177206	Unveiling Endogenous Serum Peptides as Potential Biomarkers for Hepatocellular Carcinoma in Patients with Liver Cirrhosis. 	Unveiling Endogenous Serum Peptides as Potential Biomarkers for Hepatocellular Carcinoma in Patients with Liver Cirrhosis	Biomarker, Endogenous Peptides, Liver cancer, Serum, nano-LC-MS/MS	Hepatocellular carcinoma (HCC) is a leading cause of cancer-related deaths worldwide, mainly associated with liver cirrhosis. Current diagnostic methods for HCC have limited sensitivity and specificity, highlighting the need for improved early detection and intervention. In this study, we used a comprehensive approach involving endogenous peptidome along with bioinformatics analysis to identify and evaluate potential biomarkers for HCC. Serum samples from 40 subjects, comprising 20 HCC cases and 20 patients with liver cirrhosis (CIRR), were analyzed. Among 2568 endogenous peptides, 67 showed significant differential expression between the HCC vs CIRR. Further analysis revealed three endogenous peptides (VMHEALHNHYTQKSLSLSPG, NRFTQKSLSLSPG, and SARQSTLDKEL) that showed far better performance compared to AFP in terms of area under the receiver operating characteristic curve (AUC), showcasing their potential as biomarkers for HCC. Additionally, endogenous peptide IAVEWESNGQPENNYKT that belongs to the precursor protein Immunoglobulin heavy constant gamma 4 was detected in 100% of the HCC group and completely absent in the CIRR group, suggesting a promising diagnostic biomarker. Gene ontology and pathway analysis revealed the potential involvement of these dysregulated peptides in HCC. These findings provide valuable insights into the molecular basis of HCC and may contribute to the development of improved diagnostic methods and therapeutic targets for HCC.
PXD053289	39177265	Immunoaffinity-free chromatographic purification of ovarian cancer biomarker CA125 (MUC16) from blood serum enables mass spectrometry characterization. 	Immunoaffinity-free chromatographic purification of ovarian cancer biomarker CA125 (MUC16) from blood serum	CA125, MUC16, ovarian, plasma	The enrichment of trace proteins from human fluid samples is of great importance in diverse clinical and industrial applications. In clinical diagnostics, such enrichment may enable detection of trace proteins that serve as biomarkers of disease. Affinity-based approaches, such as immunoaffinity pulldown, are widely used to enrich trace proteins, but this strategy relies on the availability and performance of antibodies that act on all proteoforms in an unbiased manner. Our prior work to characterize MUC16 (the mucin protein that carries the ovarian cancer biomarker CA125) by mass spectrometry successfully overcame the reliance on affinity-based enrichment and was used to enrich this biomarker from ascites of individual ovarian cancer patients, however, this strategy was not demonstrated on clinically relevant volumes of serum, a biofluid that is more accessible than ascites. The present work developed a non-affinity-based chromatographic method to enrich MUC16 from serum. The enriched MUC16 sample was further processed using a Midi Top 14 abundant protein depletion column. Peptides identified using bottom-up proteomics yielded 1-8% coverage of MUC16. Additionally, MUC16 was detected in samples containing less than the clinical cut-off level of CA125 (35 U mL(-1)), suggesting that this strategy of enrichment and bottom-up proteomics can enable analysis of CA125 from the serum of individuals with early-stage ovarian cancer and those whose tumors express CA125 (MUC16) at low levels.
PXD053264	39178254	The nuclear export protein XPO1 provides a peptide ligand for natural killer cells. 	The nuclear export protein XPO1 provides a peptide ligand for natural killer cells	HLA-C*0102, HUH7 cells, KIR2DS2, hepatocellular carcinoma, natural killer cells	XPO1 (Exportin-1/CRM1) is a nuclear export protein that is frequently overexpressed in cancer and functions as a driver of oncogenesis. Currently small molecules that target XPO1 are being used in the clinic as anticancer agents. We identify XPO1 as a target for natural killer (NK) cells. Using immunopeptidomics, we have identified a peptide derived from XPO1 that can be recognized by the activating NK cell receptor KIR2DS2 in the context of human leukocyte antigen-C. The peptide can be endogenously processed and presented to activate NK cells specifically through this receptor. Although high XPO1 expression in cancer is commonly associated with a poor prognosis, we show that the outcome of specific cancers, such as hepatocellular carcinoma, can be substantially improved if there is concomitant evidence of NK cell infiltration. We thus identify XPO1 as a bona fide tumor antigen recognized by NK cells that offers an opportunity for a personalized approach to NK cell therapy for solid tumors.
PXD049341	39178915	Function of CSNK2/CK2 selectively affects the endoplasmic reticulum and the Golgi apparatus in mtor-mediated autophagy induction. 	Function of CK2 selectively affects the endoplasmic reticulum and the Golgi apparatus in mTOR-mediated autophagy induction.	Compounds, GPRC, LC-MS, Multiplexed, TMTpro 18plex	Selective macroautophagy/autophagy of the endoplasmic reticulum, known as reticulophagy/ER-phagy, is essential to maintain ER homeostasis. We recently showed that members of the autophagy receptor family RETREG/FAM134 are regulated by phosphorylation-dependent ubiquitination. In an unbiased screen we had identified several kinases downstream of MTOR with profound impact on reticulophagy flux, including ATR and CSNK2/CK2. Inhibition of CSNK2 by SGC-CK2-1 prevented regulatory ubiquitination of RETREG1/FAM134B and RETREG3/FAM134C upon autophagy activation as well as the formation of high-density RETREG1- and RETREG3-clusters. Here we report on additional resource data of global proteomics upon CSNK2 and ATR inhibition, respectively. Our data suggests that the function of CSNK2 is mainly limited to the ER/reticulophagy and Golgi/Golgiphagy, while ATR inhibition by VE-822 affects the vast majority of organelles/selective autophagy pathways.
PXD053897	39179121	Nicotinamide riboside modulates the reactive species interactome, bioenergetic status and proteomic landscape in a brain-region-specific manner. 	Nicotinamide riboside modulates the reactive species interactome, bioenergetic status and proteomic landscape in a brain-region-specific manner	Alzheimer, Bioenergetics, Brain, Nicotinamine riboside, Stress, Treatment	Nicotinamide riboside (NR), a precursor of nicotinamide adenine dinucleotide (NAD+), has robust cognitive benefits and alleviates neuroinflammation in AD mouse models without decreasing beta-amyloid plaque pathology. Such effects may be mediated by the reactive species interactome (RSI), at the metabolome level. In this study, we employed in vitro and in vivo models of oxidative stress/aging/AD to profile the effects of NR on neuronal survival, RSI, and the whole proteome characterization of cortex and hippocampus. RSI analysis yielded a complex modulation upon NR treatment. We constructed protein co-expression networks and correlated them to NR treatment and all measured reactive species. We observed brain-area specific effects of NR on co-expressed protein modules of oxidative phosphorylation, fatty acid oxidation, and neurotransmitter regulation pathways, which correlated with RSI components. The current study contributes to the understanding of modulation of the metabolome, specifically after NR, in AD and how it may play disease-modifying roles.
